INSERT INTO LGINVOICE VALUES (960, '30-APR-11', 458, 29.18, 83792);
INSERT INTO LGINVOICE VALUES (1013, '06-MAY-11', 473, 331.44, 84248);
INSERT INTO LGINVOICE VALUES (1014, '06-MAY-11', 88, 71.35, 83734);
INSERT INTO LGINVOICE VALUES (1016, '06-MAY-11', 231, 222.06, 83677);
INSERT INTO LGINVOICE VALUES (1017, '06-MAY-11', 297, 284.28, 83705);
INSERT INTO LGINVOICE VALUES (1018, '06-MAY-11', 424, 99.95, 83677);
INSERT INTO LGINVOICE VALUES (1019, '06-MAY-11', 309, 284.5, 84049);
INSERT INTO LGINVOICE VALUES (1020, '06-MAY-11', 474, 180.72, 84334);
INSERT INTO LGINVOICE VALUES (1022, '06-MAY-11', 446, 119.94, 83936);
INSERT INTO LGINVOICE VALUES (1023, '06-MAY-11', 475, 234.76, 84134);
INSERT INTO LGINVOICE VALUES (1024, '07-MAY-11', 476, 293.85, 83820);
INSERT INTO LGINVOICE VALUES (1025, '07-MAY-11', 477, 165.86, 84021);
INSERT INTO LGINVOICE VALUES (1026, '07-MAY-11', 175, 165.11, 84163);
INSERT INTO LGINVOICE VALUES (1028, '07-MAY-11', 173, 104.53, 83906);
INSERT INTO LGINVOICE VALUES (1029, '07-MAY-11', 478, 249.87, 83677);
INSERT INTO LGINVOICE VALUES (1030, '07-MAY-11', 280, 390.99, 84078);
INSERT INTO LGINVOICE VALUES (1031, '07-MAY-11', 188, 171.16, 83593);
INSERT INTO LGINVOICE VALUES (1033, '08-MAY-11', 414, 225.54, 83878);
INSERT INTO LGINVOICE VALUES (1034, '08-MAY-11', 443, 160.28, 84163);
INSERT INTO LGINVOICE VALUES (1035, '08-MAY-11', 230, 190.69, 83936);
INSERT INTO LGINVOICE VALUES (1036, '08-MAY-11', 377, 426.77, 83878);
INSERT INTO LGINVOICE VALUES (1037, '08-MAY-11', 348, 270.53, 84306);
INSERT INTO LGINVOICE VALUES (1039, '08-MAY-11', 387, 63.14, 83763);
INSERT INTO LGINVOICE VALUES (1040, '08-MAY-11', 479, 56.96, 84163);
INSERT INTO LGINVOICE VALUES (1041, '08-MAY-11', 167, 181.26, 84219);
INSERT INTO LGINVOICE VALUES (1042, '08-MAY-11', 161, 278, 83763);
INSERT INTO LGINVOICE VALUES (1043, '09-MAY-11', 343, 405.67, 83677);
INSERT INTO LGINVOICE VALUES (1045, '09-MAY-11', 481, 194.3, 84306);
INSERT INTO LGINVOICE VALUES (1046, '09-MAY-11', 482, 226.28, 84049);
INSERT INTO LGINVOICE VALUES (1048, '09-MAY-11', 483, 366.27, 84106);
INSERT INTO LGINVOICE VALUES (1049, '09-MAY-11', 152, 121.14, 84191);
INSERT INTO LGINVOICE VALUES (1051, '09-MAY-11', 484, 203.1, 83734);
INSERT INTO LGINVOICE VALUES (1054, '09-MAY-11', 486, 444.49, 84163);
INSERT INTO LGINVOICE VALUES (1055, '10-MAY-11', 487, 261.76, 84276);
INSERT INTO LGINVOICE VALUES (1057, '10-MAY-11', 488, 316.24, 84021);
INSERT INTO LGINVOICE VALUES (1058, '10-MAY-11', 479, 142.45, 83593);
INSERT INTO LGINVOICE VALUES (1060, '10-MAY-11', 117, 332.64, 84276);
INSERT INTO LGINVOICE VALUES (1063, '10-MAY-11', 466, 190.82, 84248);
INSERT INTO LGINVOICE VALUES (1064, '10-MAY-11', 489, 136.93, 84364);
INSERT INTO LGINVOICE VALUES (1066, '11-MAY-11', 358, 412.68, 84334);
INSERT INTO LGINVOICE VALUES (1067, '11-MAY-11', 490, 159.91, 84191);
INSERT INTO LGINVOICE VALUES (1069, '11-MAY-11', 171, 298.02, 84420);
INSERT INTO LGINVOICE VALUES (1072, '12-MAY-11', 494, 95.55, 83537);
INSERT INTO LGINVOICE VALUES (1073, '12-MAY-11', 495, 95.33, 83906);
INSERT INTO LGINVOICE VALUES (1074, '12-MAY-11', 233, 44.97, 84191);
INSERT INTO LGINVOICE VALUES (1076, '12-MAY-11', 496, 166.55, 83593);
INSERT INTO LGINVOICE VALUES (1079, '12-MAY-11', 435, 13.59, 84420);
INSERT INTO LGINVOICE VALUES (1080, '12-MAY-11', 499, 25.17, 83792);
INSERT INTO LGINVOICE VALUES (1082, '12-MAY-11', 391, 47.96, 83621);
INSERT INTO LGINVOICE VALUES (1083, '13-MAY-11', 461, 268.47, 84106);
INSERT INTO LGINVOICE VALUES (1085, '13-MAY-11', 307, 347.39, 83792);
INSERT INTO LGINVOICE VALUES (1087, '13-MAY-11', 500, 94.81, 84163);
INSERT INTO LGINVOICE VALUES (1089, '13-MAY-11', 501, 423.41, 84248);
INSERT INTO LGINVOICE VALUES (1090, '13-MAY-11', 215, 240.9, 83537);
INSERT INTO LGINVOICE VALUES (1092, '14-MAY-11', 164, 53.37, 84392);
INSERT INTO LGINVOICE VALUES (1093, '14-MAY-11', 197, 236.28, 84021);
INSERT INTO LGINVOICE VALUES (1096, '14-MAY-11', 503, 689.89, 84420);
INSERT INTO LGINVOICE VALUES (1098, '14-MAY-11', 505, 469.25, 84364);
INSERT INTO LGINVOICE VALUES (1099, '14-MAY-11', 379, 504.35, 84248);
INSERT INTO LGINVOICE VALUES (1101, '14-MAY-11', 506, 179.95, 84334);
INSERT INTO LGINVOICE VALUES (1102, '15-MAY-11', 507, 250.66, 84163);
INSERT INTO LGINVOICE VALUES (1105, '15-MAY-11', 508, 76.77, 83649);
INSERT INTO LGINVOICE VALUES (1107, '15-MAY-11', 434, 131.13, 83792);
INSERT INTO LGINVOICE VALUES (1108, '15-MAY-11', 200, 220.76, 84134);
INSERT INTO LGINVOICE VALUES (1110, '16-MAY-11', 425, 357.27, 84276);
INSERT INTO LGINVOICE VALUES (1112, '16-MAY-11', 91, 89.97, 84134);
INSERT INTO LGINVOICE VALUES (1114, '16-MAY-11', 238, 138.07, 83677);
INSERT INTO LGINVOICE VALUES (1115, '16-MAY-11', 511, 261.54, 84106);
INSERT INTO LGINVOICE VALUES (1117, '16-MAY-11', 471, 226.22, 84191);
INSERT INTO LGINVOICE VALUES (1118, '17-MAY-11', 311, 113.31, 83993);
INSERT INTO LGINVOICE VALUES (1121, '17-MAY-11', 514, 263.86, 84364);
INSERT INTO LGINVOICE VALUES (1123, '17-MAY-11', 341, 138.56, 84134);
INSERT INTO LGINVOICE VALUES (1124, '17-MAY-11', 261, 193.38, 84021);
INSERT INTO LGINVOICE VALUES (1126, '17-MAY-11', 516, 270.27, 84049);
INSERT INTO LGINVOICE VALUES (1127, '18-MAY-11', 454, 68.45, 83509);
INSERT INTO LGINVOICE VALUES (1130, '18-MAY-11', 222, 315.04, 84219);
INSERT INTO LGINVOICE VALUES (1132, '18-MAY-11', 518, 229, 84392);
INSERT INTO LGINVOICE VALUES (1133, '18-MAY-11', 112, 389.28, 83705);
INSERT INTO LGINVOICE VALUES (1134, '18-MAY-11', 325, 304.62, 84106);
INSERT INTO LGINVOICE VALUES (1135, '18-MAY-11', 457, 220.31, 83993);
INSERT INTO LGINVOICE VALUES (1136, '19-MAY-11', 215, 136.72, 83763);
INSERT INTO LGINVOICE VALUES (1138, '19-MAY-11', 519, 300.04, 84392);
INSERT INTO LGINVOICE VALUES (1139, '19-MAY-11', 150, 172.44, 83964);
INSERT INTO LGINVOICE VALUES (1140, '19-MAY-11', 520, 302.48, 83993);
INSERT INTO LGINVOICE VALUES (1141, '19-MAY-11', 521, 445.23, 84219);
INSERT INTO LGINVOICE VALUES (1142, '19-MAY-11', 462, 168.53, 84021);
INSERT INTO LGINVOICE VALUES (1144, '19-MAY-11', 257, 55.14, 83537);
INSERT INTO LGINVOICE VALUES (1145, '20-MAY-11', 522, 146.45, 83705);
INSERT INTO LGINVOICE VALUES (1146, '20-MAY-11', 523, 266.89, 84364);
INSERT INTO LGINVOICE VALUES (1147, '20-MAY-11', 443, 205.11, 83850);
INSERT INTO LGINVOICE VALUES (1148, '20-MAY-11', 293, 271.45, 83763);
INSERT INTO LGINVOICE VALUES (1150, '20-MAY-11', 129, 134.22, 84049);
INSERT INTO LGINVOICE VALUES (1151, '20-MAY-11', 524, 151.93, 84420);
INSERT INTO LGINVOICE VALUES (1152, '20-MAY-11', 525, 219.5, 83593);
INSERT INTO LGINVOICE VALUES (1153, '20-MAY-11', 272, 11.97, 84392);
INSERT INTO LGINVOICE VALUES (1154, '21-MAY-11', 132, 553.79, 83964);
INSERT INTO LGINVOICE VALUES (1156, '21-MAY-11', 526, 310.06, 83792);
INSERT INTO LGINVOICE VALUES (1157, '21-MAY-11', 358, 380.23, 83763);
INSERT INTO LGINVOICE VALUES (1158, '21-MAY-11', 527, 295.12, 84106);
INSERT INTO LGINVOICE VALUES (1159, '21-MAY-11', 193, 280.83, 84276);
INSERT INTO LGINVOICE VALUES (1161, '21-MAY-11', 140, 287.57, 83565);
INSERT INTO LGINVOICE VALUES (1162, '22-MAY-11', 158, 78.95, 83734);
INSERT INTO LGINVOICE VALUES (1163, '22-MAY-11', 529, 431.73, 84106);
INSERT INTO LGINVOICE VALUES (1164, '22-MAY-11', 530, 105.92, 83878);
INSERT INTO LGINVOICE VALUES (1165, '22-MAY-11', 531, 19.99, 83936);
INSERT INTO LGINVOICE VALUES (1167, '22-MAY-11', 260, 582.66, 84364);
INSERT INTO LGINVOICE VALUES (1168, '22-MAY-11', 470, 237.42, 84049);
INSERT INTO LGINVOICE VALUES (1369, '12-JUN-11', 374, 64.95, 84049);
INSERT INTO LGINVOICE VALUES (1370, '12-JUN-11', 607, 137.47, 84049);
INSERT INTO LGINVOICE VALUES (1371, '13-JUN-11', 608, 61.16, 84306);
INSERT INTO LGINVOICE VALUES (1373, '13-JUN-11', 157, 148.14, 83593);
INSERT INTO LGINVOICE VALUES (1374, '13-JUN-11', 109, 307.69, 84334);
INSERT INTO LGINVOICE VALUES (1375, '13-JUN-11', 510, 320.05, 84364);
INSERT INTO LGINVOICE VALUES (1376, '13-JUN-11', 609, 258.04, 84191);
INSERT INTO LGINVOICE VALUES (1377, '13-JUN-11', 498, 560.69, 83936);
INSERT INTO LGINVOICE VALUES (1379, '13-JUN-11', 611, 188.92, 83537);
INSERT INTO LGINVOICE VALUES (1385, '14-JUN-11', 528, 17.99, 84191);
INSERT INTO LGINVOICE VALUES (1386, '14-JUN-11', 239, 254.9, 83565);
INSERT INTO LGINVOICE VALUES (1387, '14-JUN-11', 573, 291.51, 83705);
INSERT INTO LGINVOICE VALUES (1389, '14-JUN-11', 613, 180.36, 83792);
INSERT INTO LGINVOICE VALUES (1390, '15-JUN-11', 103, 134.32, 83820);
INSERT INTO LGINVOICE VALUES (1391, '15-JUN-11', 351, 50.15, 84163);
INSERT INTO LGINVOICE VALUES (1392, '15-JUN-11', 334, 260.97, 83593);
INSERT INTO LGINVOICE VALUES (1393, '15-JUN-11', 300, 316.89, 84163);
INSERT INTO LGINVOICE VALUES (1395, '15-JUN-11', 468, 355.46, 84364);
INSERT INTO LGINVOICE VALUES (1396, '15-JUN-11', 481, 233.49, 83964);
INSERT INTO LGINVOICE VALUES (1397, '15-JUN-11', 614, 192.31, 84078);
INSERT INTO LGINVOICE VALUES (1398, '15-JUN-11', 505, 82.35, 84163);
INSERT INTO LGINVOICE VALUES (1399, '15-JUN-11', 615, 280.62, 84334);
INSERT INTO LGINVOICE VALUES (1401, '16-JUN-11', 616, 257.9, 84021);
INSERT INTO LGINVOICE VALUES (1402, '16-JUN-11', 617, 41.18, 84191);
INSERT INTO LGINVOICE VALUES (1403, '16-JUN-11', 128, 105.16, 84306);
INSERT INTO LGINVOICE VALUES (1404, '16-JUN-11', 618, 233.3, 83820);
INSERT INTO LGINVOICE VALUES (1416, '17-JUN-11', 185, 238.09, 83593);
INSERT INTO LGINVOICE VALUES (1417, '17-JUN-11', 625, 253.75, 84134);
INSERT INTO LGINVOICE VALUES (1418, '17-JUN-11', 626, 87.96, 83705);
INSERT INTO LGINVOICE VALUES (1419, '17-JUN-11', 627, 346.32, 84163);
INSERT INTO LGINVOICE VALUES (1420, '17-JUN-11', 320, 140.34, 84078);
INSERT INTO LGINVOICE VALUES (1422, '18-JUN-11', 171, 226.88, 83537);
INSERT INTO LGINVOICE VALUES (1423, '18-JUN-11', 382, 32.99, 83763);
INSERT INTO LGINVOICE VALUES (1424, '18-JUN-11', 629, 141.49, 83792);
INSERT INTO LGINVOICE VALUES (1425, '18-JUN-11', 320, 350.44, 84334);
INSERT INTO LGINVOICE VALUES (1426, '18-JUN-11', 142, 196.53, 84248);
INSERT INTO LGINVOICE VALUES (1428, '18-JUN-11', 443, 138.9, 84163);
INSERT INTO LGINVOICE VALUES (1429, '18-JUN-11', 354, 263.28, 84078);
INSERT INTO LGINVOICE VALUES (1430, '18-JUN-11', 556, 378.6, 84276);
INSERT INTO LGINVOICE VALUES (1432, '19-JUN-11', 631, 231.8, 83537);
INSERT INTO LGINVOICE VALUES (1433, '19-JUN-11', 484, 351.59, 83621);
INSERT INTO LGINVOICE VALUES (1436, '19-JUN-11', 633, 82.06, 83792);
INSERT INTO LGINVOICE VALUES (1438, '19-JUN-11', 117, 44.97, 83621);
INSERT INTO LGINVOICE VALUES (1439, '19-JUN-11', 635, 416.62, 83964);
INSERT INTO LGINVOICE VALUES (1441, '20-JUN-11', 636, 223.66, 84334);
INSERT INTO LGINVOICE VALUES (1442, '20-JUN-11', 637, 230.1, 84392);
INSERT INTO LGINVOICE VALUES (1740, '21-JUL-11', 514, 108.72, 83993);
INSERT INTO LGINVOICE VALUES (1742, '21-JUL-11', 472, 253.85, 83677);
INSERT INTO LGINVOICE VALUES (1743, '21-JUL-11', 759, 59.98, 83878);
INSERT INTO LGINVOICE VALUES (1745, '21-JUL-11', 146, 446.8, 83763);
INSERT INTO LGINVOICE VALUES (1746, '22-JUL-11', 530, 148.44, 83621);
INSERT INTO LGINVOICE VALUES (1749, '22-JUL-11', 343, 134.65, 84248);
INSERT INTO LGINVOICE VALUES (1751, '22-JUL-11', 386, 227.91, 83936);
INSERT INTO LGINVOICE VALUES (1752, '22-JUL-11', 762, 335.28, 83936);
INSERT INTO LGINVOICE VALUES (1754, '22-JUL-11', 262, 193.87, 83593);
INSERT INTO LGINVOICE VALUES (1755, '22-JUL-11', 377, 410.99, 84364);
INSERT INTO LGINVOICE VALUES (1758, '23-JUL-11', 765, 143.49, 84248);
INSERT INTO LGINVOICE VALUES (1760, '23-JUL-11', 766, 115.9, 83509);
INSERT INTO LGINVOICE VALUES (1761, '23-JUL-11', 553, 220.79, 84106);
INSERT INTO LGINVOICE VALUES (1763, '23-JUL-11', 226, 238.94, 83565);
INSERT INTO LGINVOICE VALUES (1764, '23-JUL-11', 768, 231.6, 84276);
INSERT INTO LGINVOICE VALUES (1767, '24-JUL-11', 281, 223.54, 83936);
INSERT INTO LGINVOICE VALUES (1768, '24-JUL-11', 771, 408.12, 84021);
INSERT INTO LGINVOICE VALUES (1770, '24-JUL-11', 300, 247.83, 83763);
INSERT INTO LGINVOICE VALUES (1771, '24-JUL-11', 597, 35.99, 84021);
INSERT INTO LGINVOICE VALUES (1773, '24-JUL-11', 773, 309.41, 84392);
INSERT INTO LGINVOICE VALUES (1776, '25-JUL-11', 776, 29.96, 84191);
INSERT INTO LGINVOICE VALUES (1777, '25-JUL-11', 777, 154.39, 83537);
INSERT INTO LGINVOICE VALUES (1779, '25-JUL-11', 778, 54.34, 84219);
INSERT INTO LGINVOICE VALUES (1780, '25-JUL-11', 779, 64.43, 83906);
INSERT INTO LGINVOICE VALUES (1783, '25-JUL-11', 781, 260.41, 84392);
INSERT INTO LGINVOICE VALUES (1784, '25-JUL-11', 782, 131.93, 83792);
INSERT INTO LGINVOICE VALUES (1786, '25-JUL-11', 660, 21.98, 83677);
INSERT INTO LGINVOICE VALUES (1787, '26-JUL-11', 783, 89.97, 83705);
INSERT INTO LGINVOICE VALUES (1789, '26-JUL-11', 785, 174.11, 84306);
INSERT INTO LGINVOICE VALUES (1792, '26-JUL-11', 112, 216.53, 84106);
INSERT INTO LGINVOICE VALUES (1793, '26-JUL-11', 238, 126.73, 83621);
INSERT INTO LGINVOICE VALUES (1795, '27-JUL-11', 787, 107.24, 83850);
INSERT INTO LGINVOICE VALUES (1796, '27-JUL-11', 89, 174.47, 83621);
INSERT INTO LGINVOICE VALUES (1797, '27-JUL-11', 788, 12.59, 84219);
INSERT INTO LGINVOICE VALUES (1800, '27-JUL-11', 200, 164.95, 84219);
INSERT INTO LGINVOICE VALUES (1802, '27-JUL-11', 523, 57.92, 84334);
INSERT INTO LGINVOICE VALUES (1803, '28-JUL-11', 790, 464.3, 84021);
INSERT INTO LGINVOICE VALUES (1805, '28-JUL-11', 791, 95.94, 83878);
INSERT INTO LGINVOICE VALUES (1808, '28-JUL-11', 389, 200.32, 84191);
INSERT INTO LGINVOICE VALUES (1809, '28-JUL-11', 314, 47.96, 83993);
INSERT INTO LGINVOICE VALUES (704, '04-APR-11', 170, 261.45, 83964);
INSERT INTO LGINVOICE VALUES (705, '04-APR-11', 204, 326.02, 84364);
INSERT INTO LGINVOICE VALUES (707, '04-APR-11', 113, 9.87, 83565);
INSERT INTO LGINVOICE VALUES (708, '04-APR-11', 350, 164.95, 83593);
INSERT INTO LGINVOICE VALUES (1810, '28-JUL-11', 793, 59.95, 84163);
INSERT INTO LGINVOICE VALUES (1811, '28-JUL-11', 794, 53.37, 83621);
INSERT INTO LGINVOICE VALUES (1812, '28-JUL-11', 795, 71.93, 83993);
INSERT INTO LGINVOICE VALUES (1814, '29-JUL-11', 118, 252.76, 83649);
INSERT INTO LGINVOICE VALUES (1815, '29-JUL-11', 796, 313.17, 83792);
INSERT INTO LGINVOICE VALUES (1816, '29-JUL-11', 797, 140.11, 83734);
INSERT INTO LGINVOICE VALUES (1817, '29-JUL-11', 432, 170.55, 84021);
INSERT INTO LGINVOICE VALUES (1818, '29-JUL-11', 798, 41.07, 83763);
INSERT INTO LGINVOICE VALUES (1820, '29-JUL-11', 799, 23.98, 84049);
INSERT INTO LGINVOICE VALUES (1821, '29-JUL-11', 765, 81.94, 84191);
INSERT INTO LGINVOICE VALUES (1822, '29-JUL-11', 382, 227.61, 83705);
INSERT INTO LGINVOICE VALUES (1823, '30-JUL-11', 755, 497.84, 83705);
INSERT INTO LGINVOICE VALUES (1824, '30-JUL-11', 682, 74.36, 84049);
INSERT INTO LGINVOICE VALUES (1826, '30-JUL-11', 106, 153.26, 84392);
INSERT INTO LGINVOICE VALUES (1827, '30-JUL-11', 800, 398.82, 83621);
INSERT INTO LGINVOICE VALUES (1828, '30-JUL-11', 152, 349.04, 84163);
INSERT INTO LGINVOICE VALUES (1829, '30-JUL-11', 201, 605.6, 83878);
INSERT INTO LGINVOICE VALUES (1830, '30-JUL-11', 498, 54.36, 84219);
INSERT INTO LGINVOICE VALUES (1832, '31-JUL-11', 486, 233.9, 83878);
INSERT INTO LGINVOICE VALUES (1833, '31-JUL-11', 86, 318.32, 83792);
INSERT INTO LGINVOICE VALUES (1834, '31-JUL-11', 802, 104.97, 83820);
INSERT INTO LGINVOICE VALUES (1835, '31-JUL-11', 133, 77.98, 83677);
INSERT INTO LGINVOICE VALUES (1836, '31-JUL-11', 707, 112.53, 83792);
INSERT INTO LGINVOICE VALUES (1838, '31-JUL-11', 803, 231.68, 83677);
INSERT INTO LGINVOICE VALUES (1839, '31-JUL-11', 804, 164.09, 83565);
INSERT INTO LGINVOICE VALUES (1840, '31-JUL-11', 799, 228.97, 83621);
INSERT INTO LGINVOICE VALUES (1841, '01-AUG-11', 152, 119.93, 84334);
INSERT INTO LGINVOICE VALUES (1842, '01-AUG-11', 745, 415.32, 83850);
INSERT INTO LGINVOICE VALUES (1844, '01-AUG-11', 264, 533.53, 84276);
INSERT INTO LGINVOICE VALUES (1845, '01-AUG-11', 805, 32.99, 83820);
INSERT INTO LGINVOICE VALUES (1846, '01-AUG-11', 246, 43.98, 83593);
INSERT INTO LGINVOICE VALUES (1847, '01-AUG-11', 118, 291.58, 84334);
INSERT INTO LGINVOICE VALUES (1848, '01-AUG-11', 806, 35.58, 84134);
INSERT INTO LGINVOICE VALUES (1850, '02-AUG-11', 808, 126.91, 83964);
INSERT INTO LGINVOICE VALUES (1851, '02-AUG-11', 588, 203.21, 84163);
INSERT INTO LGINVOICE VALUES (1852, '02-AUG-11', 809, 116.91, 83993);
INSERT INTO LGINVOICE VALUES (1853, '02-AUG-11', 373, 104.72, 83593);
INSERT INTO LGINVOICE VALUES (1854, '02-AUG-11', 810, 56.95, 83537);
INSERT INTO LGINVOICE VALUES (1856, '02-AUG-11', 302, 456.86, 84106);
INSERT INTO LGINVOICE VALUES (1857, '02-AUG-11', 811, 176.33, 84276);
INSERT INTO LGINVOICE VALUES (1858, '02-AUG-11', 738, 110.97, 84163);
INSERT INTO LGINVOICE VALUES (1859, '02-AUG-11', 812, 356.23, 83964);
INSERT INTO LGINVOICE VALUES (1860, '03-AUG-11', 163, 208.57, 84248);
INSERT INTO LGINVOICE VALUES (1862, '03-AUG-11', 152, 276.05, 84163);
INSERT INTO LGINVOICE VALUES (1863, '03-AUG-11', 371, 192.69, 83649);
INSERT INTO LGINVOICE VALUES (1864, '03-AUG-11', 523, 248.4, 84306);
INSERT INTO LGINVOICE VALUES (1865, '03-AUG-11', 814, 262.86, 83565);
INSERT INTO LGINVOICE VALUES (1866, '03-AUG-11', 815, 154.88, 83820);
INSERT INTO LGINVOICE VALUES (1868, '04-AUG-11', 111, 89.97, 84021);
INSERT INTO LGINVOICE VALUES (1869, '04-AUG-11', 497, 449.82, 83820);
INSERT INTO LGINVOICE VALUES (1870, '04-AUG-11', 228, 637.79, 83820);
INSERT INTO LGINVOICE VALUES (1871, '04-AUG-11', 817, 135.29, 83850);
INSERT INTO LGINVOICE VALUES (1872, '04-AUG-11', 818, 304.96, 83936);
INSERT INTO LGINVOICE VALUES (1874, '04-AUG-11', 514, 182.43, 84334);
INSERT INTO LGINVOICE VALUES (1875, '04-AUG-11', 281, 373.78, 83906);
INSERT INTO LGINVOICE VALUES (1876, '04-AUG-11', 820, 195.34, 83593);
INSERT INTO LGINVOICE VALUES (1877, '04-AUG-11', 821, 169.15, 83792);
INSERT INTO LGINVOICE VALUES (1878, '04-AUG-11', 822, 153.42, 83621);
INSERT INTO LGINVOICE VALUES (1880, '05-AUG-11', 191, 285.73, 84049);
INSERT INTO LGINVOICE VALUES (1881, '05-AUG-11', 405, 108.94, 83936);
INSERT INTO LGINVOICE VALUES (1882, '05-AUG-11', 823, 102.92, 84276);
INSERT INTO LGINVOICE VALUES (1883, '05-AUG-11', 824, 210.66, 83734);
INSERT INTO LGINVOICE VALUES (1884, '05-AUG-11', 284, 25.98, 83993);
INSERT INTO LGINVOICE VALUES (1886, '05-AUG-11', 300, 188.92, 84306);
INSERT INTO LGINVOICE VALUES (1887, '05-AUG-11', 341, 161.94, 83593);
INSERT INTO LGINVOICE VALUES (1888, '05-AUG-11', 692, 50.36, 83677);
INSERT INTO LGINVOICE VALUES (1889, '05-AUG-11', 352, 71.97, 83565);
INSERT INTO LGINVOICE VALUES (1890, '05-AUG-11', 276, 350.86, 84134);
INSERT INTO LGINVOICE VALUES (1893, '05-AUG-11', 376, 85.53, 84334);
INSERT INTO LGINVOICE VALUES (1895, '06-AUG-11', 826, 239.85, 83509);
INSERT INTO LGINVOICE VALUES (1896, '06-AUG-11', 632, 78.73, 84392);
INSERT INTO LGINVOICE VALUES (1897, '06-AUG-11', 827, 37.18, 84134);
INSERT INTO LGINVOICE VALUES (1899, '06-AUG-11', 795, 517.61, 83878);
INSERT INTO LGINVOICE VALUES (1902, '06-AUG-11', 830, 120.91, 83763);
INSERT INTO LGINVOICE VALUES (1903, '07-AUG-11', 684, 436.99, 83677);
INSERT INTO LGINVOICE VALUES (1905, '07-AUG-11', 800, 291.85, 83878);
INSERT INTO LGINVOICE VALUES (1906, '07-AUG-11', 98, 85.43, 83649);
INSERT INTO LGINVOICE VALUES (1909, '07-AUG-11', 441, 59.9, 83649);
